image,color1,color2,color3,color4,color5
female/f576.jpg,[168 152 158],[254 254 254],[109 100 108],[51 46 51],[191 181 184]
female/f2011.jpg,[230 230 228],[216 169 143],[22 22 21],[123 108 102],[150 165 176]
female/f998.jpg,[18 18 18],[128  93  71],[32 30 29],[234 234 232],[209 165 139]
female/f245.jpg,[236 236 235],[220 218 215],[60 31 30],[208  56  66],[142 132 135]
female/f838.jpg,[198 174 169],[215 195 190],[85 22 23],[177 135 130],[193  18  43]
female/f1009.jpg,[199 169 146],[122 121 122],[225 224 224],[43 42 41],[81 80 81]
female/f1903.jpg,[238 238 236],[230 189 165],[ 82  94 118],[81 41 46],[175 138 120]
female/f111.jpg,[230 228 227],[224  67  68],[214 198 191],[178 141 128],[94 45 51]
female/f2038.jpg,[19 18 17],[201 161 140],[58 44 32],[146 101  81],[231 230 229]
female/f1986.jpg,[216 214 210],[137 121 114],[240 240 239],[30 25 22],[169 164 163]
female/f334.jpg,[230 230 228],[218 180 155],[124 118  99],[29 26 25],[88 87 72]
female/f1508.jpg,[204 202 200],[ 76 101 121],[26 25 30],[171 172 173],[142 103  87]
female/f602.jpg,[227 207 200],[137 123 119],[87 63 55],[240 240 240],[207 152 132]
female/f1963.jpg,[16 15 16],[207 203 197],[214 213 209],[158  92  64],[201 160 129]
female/f666.jpg,[142 104  80],[185  33  38],[226 225 223],[25 23 22],[198 184 173]
female/f462.jpg,[57 49 46],[170 119  95],[ 75  98 124],[30 27 26],[220 219 217]
female/f1483.jpg,[26 25 24],[225 178 151],[231 230 228],[177 118  94],[103  69  53]
female/f1215.jpg,[28 29 36],[58 63 77],[ 91 101 118],[220 220 219],[166 116  92]
female/f1894.jpg,[210 203 198],[92 88 86],[146 139 138],[227 227 227],[44 40 38]
female/f1367.jpg,[216 217 213],[119 135 135],[80 92 99],[146 168 166],[43 40 38]
female/f1298.jpg,[136  77  83],[102  52  55],[178 120 112],[238 237 237],[25 16 17]
female/f2044.jpg,[181 179 177],[254 254 254],[81 79 79],[201 200 198],[150 147 144]
female/f2110.jpg,[249  80 149],[208 186 183],[194 166 159],[30 14 16],[190  67  76]
female/f1113.jpg,[244 244 244],[187 142 111],[224 192 169],[24 22 35],[147  67  42]
female/f1059.jpg,[43 28 23],[212 195 191],[170 151 146],[195 178 175],[125 106 102]
female/f1533.jpg,[243 140 132],[235 234 229],[75 44 31],[141  81  62],[219  87  84]
female/f381.jpg,[229 229 226],[108 117 130],[59 57 61],[249 249 249],[216 169 142]
female/f1854.jpg,[235 236 234],[129 143 155],[75 74 77],[41 39 39],[194 140 113]
female/f219.jpg,[200 178 172],[182 153 146],[125  86  67],[30 28 28],[219 201 195]
female/f337.jpg,[222 221 220],[57 33 31],[156 133 107],[117 105  83],[160  32  72]
female/f335.jpg,[24 24 24],[225 225 223],[209 208 204],[83 86 92],[179 141 125]
female/f840.jpg,[229 228 229],[221 218 217],[33 24 26],[78 57 54],[176 109  91]
female/f1161.jpg,[168 120  98],[114  67  47],[209 192 190],[42 35 39],[194 172 168]
female/f1568.jpg,[206 203 201],[224 224 224],[194 153 134],[26 25 24],[60 60 48]
female/f690.jpg,[200 197 192],[164 113  80],[45 43 51],[228 228 226],[245 185  50]
female/f1818.jpg,[210 191 189],[226 221 231],[24 19 19],[243 243 251],[192 164 157]
female/f745.jpg,[197 193 188],[19 17 24],[206 137 117],[234 233 229],[132  84  65]
female/f1955.jpg,[202 201 200],[26 26 24],[226 226 226],[143 107  91],[213 168 148]
female/f1122.jpg,[158 144 147],[172 118  99],[242 190 190],[200 169 160],[72 63 81]
female/f1134.jpg,[232 231 231],[115 124 134],[72 74 81],[28 28 30],[217 158 127]
female/f1838.jpg,[234 233 232],[141  93  81],[29 28 30],[194 142 124],[233 189 169]
female/f1012.jpg,[233 233 231],[87 51 61],[52 22 30],[216 215 211],[173 122 101]
female/f1873.jpg,[251 220  62],[185 135 107],[224 223 219],[134  83  51],[221 175 138]
female/f2145.jpg,[239 239 239],[92 80 83],[28 28 29],[234 199 167],[200 113 101]
female/f136.jpg,[205 204 203],[35 31 39],[184 176 172],[228 228 228],[145 122 112]
female/f191.jpg,[81 73 50],[175 125  99],[212 212 209],[226 226 225],[28 25 19]
female/f1350.jpg,[203 202 202],[59 60 69],[193 158 140],[107 120 136],[221 221 220]
female/f1402.jpg,[90 84 79],[156 144 134],[232 232 232],[204 192 183],[226 226 225]
female/f1665.jpg,[38 35 44],[229 229 227],[212 210 204],[209 167 142],[137  97  84]
female/f1586.jpg,[249 177   4],[198 126  86],[ 95 111 151],[43 27 23],[238 236 232]
female/f1128.jpg,[15 14 16],[205 168 153],[78 51 46],[221 220 220],[153  98  89]
female/f1951.jpg,[205  30  35],[242  49  58],[193 137 113],[28 21 20],[234 233 232]
female/f706.jpg,[67 62 83],[223 175 146],[165 119  93],[235 235 235],[31 30 33]
female/f1316.jpg,[ 62  80 112],[218 216 213],[192 152 133],[32 33 39],[241 241 240]
female/f836.jpg,[223  10  39],[191 165 159],[203 182 177],[166 110  98],[55 47 62]
female/f1729.jpg,[67 52 59],[141 107 104],[17 13 18],[35 32 43],[185 176 181]
female/f1304.jpg,[192 192 192],[174 165 160],[71  6  7],[159  11  23],[230  25  44]
female/f1768.jpg,[181 174 181],[238 238 248],[162 137 139],[22 16 31],[102  68  66]
female/f960.jpg,[178 137 124],[112  69  51],[32 24 26],[193 167 160],[211 191 185]
female/f1467.jpg,[13 17 24],[217 178 147],[160 119  88],[240 240 240],[ 41  82 124]
female/f1588.jpg,[201 201 197],[190 143 122],[30 29 35],[226 226 225],[76 84 99]
female/f2152.jpg,[191 179 173],[219 219 219],[226  34  40],[24 19 18],[142  71  60]
female/f721.jpg,[238 238 238],[165 116  86],[26 26 25],[43 41 41],[226 185 164]
female/f200.jpg,[231 232 230],[172 183 190],[34 35 41],[102  82  75],[167 131 112]
female/f1709.jpg,[138  99  75],[237 237 236],[212 208 207],[42 40 40],[205 163 141]
female/f910.jpg,[31 26 26],[225 225 227],[209 208 210],[183 177 183],[150 115 105]
female/f957.jpg,[211 175 153],[37 32 29],[218 217 217],[236 236 238],[161 132 112]
female/f532.jpg,[208 198 189],[225 225 222],[39 34 30],[184 129  55],[248 216  80]
female/f1280.jpg,[237 237 237],[121 104  88],[181 175 174],[210 207 207],[69 51 37]
female/f225.jpg,[240 239 237],[112  77  64],[204 140 110],[21 29 47],[102 135 166]
female/f2055.jpg,[236 236 233],[63 36 36],[214 164 138],[39 15 15],[122  79  71]
female/f1448.jpg,[122  41  79],[232 234 233],[175 136 125],[206 202 199],[40 26 32]
female/f1874.jpg,[232 231 229],[88 54 42],[212 153 146],[142 137 144],[228 178 177]
female/f799.jpg,[225 224 221],[198 146 115],[157  30  65],[29 22 25],[118  16  43]
female/f156.jpg,[213 211 207],[126 118 115],[47 35 30],[233 232 230],[163 156 154]
female/f1678.jpg,[12 11 11],[217 171 144],[27 25 25],[238 238 237],[123  80  55]
female/f1234.jpg,[232 232 230],[27 26 28],[117  85  70],[186 145 120],[70 47 39]
female/f420.jpg,[227 227 226],[211 164 142],[135 111 108],[105  38  50],[162 167 171]
female/f778.jpg,[241 240 239],[226 225 221],[133  77  69],[203 158 135],[30 32 46]
female/f812.jpg,[201 199 194],[223 223 220],[51 46 43],[188 153 104],[93 89 88]
female/f1751.jpg,[220  33  43],[191 161 155],[ 95 113 137],[51 34 34],[242 239 235]
female/f323.jpg,[238 236 231],[209 158 131],[32 27 27],[102  55  55],[137  82  81]
female/f1199.jpg,[31 28 27],[246  58  72],[183 140 116],[236 235 237],[223 220 216]
female/f590.jpg,[213 154 134],[93 83 83],[74 54 55],[160  79  81],[240 240 239]
female/f891.jpg,[58 57 63],[211 212 209],[178 178 178],[128 107  98],[233 233 231]
female/f519.jpg,[226 213 208],[195 167 159],[206  54  59],[38 35 54],[ 62 114 175]
female/f96.jpg,[22 19 20],[206 153 121],[234 232 228],[254 254 254],[130  87  61]
female/f2087.jpg,[55 45 44],[203 199 198],[181 179 178],[217  50  85],[250 122 154]
female/f1979.jpg,[219 219 219],[ 75 107  95],[30 30 28],[204 166 145],[53 58 54]
female/f2105.jpg,[202 202 200],[49 49 39],[198 168 151],[221 221 221],[145 122 112]
female/f587.jpg,[223 223 222],[ 89 124 162],[189 159 147],[119 178 233],[79 61 57]
female/f383.jpg,[214 205 199],[248 247 251],[84 72 71],[235 235 234],[172 150 145]
female/f1647.jpg,[246 166 140],[58 39 31],[243 242 238],[250 198 174],[209  84  59]
female/f889.jpg,[231 232 233],[127 101  90],[207 204 199],[184 144 132],[79 45 25]
female/f780.jpg,[223 222 222],[31 27 31],[127  94  75],[47 46 61],[203 160 134]
female/f264.jpg,[112 119 119],[67 49 39],[233 232 231],[212 178 160],[135 147 149]
female/f98.jpg,[21 19 20],[48 22 23],[210 167 142],[227 227 225],[117  86  66]
female/f1226.jpg,[15 19 33],[17 32 57],[185 133 110],[120  60  55],[229 230 229]
female/f1393.jpg,[215 195 183],[43 34 33],[242 242 242],[112 133 160],[191  77  66]
female/f1273.jpg,[197 162 135],[237 236 234],[216 204 189],[58 30 16],[161 112  80]
female/f294.jpg,[204 184 183],[64 23 22],[192 112 124],[168  68  81],[233 145 151]
female/f480.jpg,[209 210 207],[29 27 26],[177 165 159],[145 105  93],[229 230 229]
female/f1812.jpg,[30 40 37],[169 137  97],[219 219 219],[220 190 117],[122  96  50]
female/f930.jpg,[219 216 215],[238 195  80],[226 166  24],[139  98 100],[53 50 43]
female/f919.jpg,[231 233 233],[27 25 25],[112 111 111],[209 176 161],[87 86 86]
female/f308.jpg,[77 51 42],[23 21 21],[ 67  86 116],[196 123  97],[229 231 231]
female/f31.jpg,[239 239 239],[188 145 120],[108  99  82],[226 186 161],[68 59 50]
female/f1207.jpg,[232 232 230],[144  33  50],[160 131 119],[46 41 44],[216 196 181]
female/f807.jpg,[200 192 187],[21 19 17],[224 224 222],[96 77 60],[178 131 112]
female/f1837.jpg,[222 248 164],[165 178 186],[223 226 223],[172 114  93],[31 32 32]
female/f966.jpg,[241 241 239],[222  36  31],[163 106  81],[33 27 25],[251  57  53]
female/f518.jpg,[206 195 186],[221 221 220],[172 111  41],[75 28 26],[237 168  46]
female/f1621.jpg,[205 191 180],[49 38 30],[222 221 218],[141 107  87],[189 157 136]
female/f1794.jpg,[238 238 238],[213 213 211],[24 19 19],[204 150 114],[99 72 52]
female/f1095.jpg,[202 186 185],[44 52 68],[78 84 96],[175 148 139],[22 14 15]
female/f1399.jpg,[240 239 238],[199  21  24],[48 50 61],[246  42  50],[213 165 141]
female/f1857.jpg,[239 238 236],[38 35 40],[203 140  79],[247 193  81],[126  90  73]
female/f447.jpg,[217 215 210],[204 149 121],[241 240 239],[ 71 158 156],[93 61 49]
female/f907.jpg,[175 163 160],[240 242 241],[55 44 41],[217 217 215],[104 105 115]
female/f791.jpg,[206 205 200],[88 65 53],[24 24 24],[197 146 119],[234 234 232]
female/f1221.jpg,[243 236 227],[76 23 18],[204 178 169],[198 117  85],[150  36  43]
female/f1373.jpg,[227 226 225],[30 27 29],[206 203 199],[120 104  96],[173 164 159]
female/f1940.jpg,[222 221 220],[35 25 26],[160  80  67],[230 230 230],[223 178 160]
female/f208.jpg,[56 50 52],[197 192 186],[146 128 122],[219 219 217],[231 232 230]
female/f945.jpg,[201 152 131],[236 203 193],[134  88  71],[30 22 20],[232 230 229]
female/f1117.jpg,[222 222 219],[192 148 120],[ 97 119 145],[78 75 79],[25 24 24]
female/f875.jpg,[205 205 199],[136 152 165],[21 20 20],[153 118  79],[230 230 229]
female/f1833.jpg,[229 228 228],[18 16 17],[161 143 120],[191 171 149],[107  90  72]
female/f939.jpg,[241 242 241],[202 202 201],[54 70 93],[167 168 168],[154 113  91]
female/f148.jpg,[226 226 226],[170 129 113],[42 36 39],[ 50  87 147],[ 38  62 106]
female/f1233.jpg,[213 211 206],[218 158 132],[23 26 24],[35 65 65],[234 234 232]
female/f1698.jpg,[218 215 209],[238 238 237],[39 38 39],[120 142 166],[207 149 125]
female/f1342.jpg,[202 195 194],[73 56 56],[236 232 226],[190 131 105],[ 87 114 135]
female/f467.jpg,[221 182 157],[29 28 27],[226 226 225],[239 239 239],[139 106  85]
female/f1962.jpg,[211  38  53],[234 235 235],[195 201 211],[175 145 135],[83 37 35]
female/f672.jpg,[228 226 225],[49 39 39],[197 191 188],[175 165 161],[142 119 110]
female/f1123.jpg,[174 132 117],[236 183 157],[80 77 88],[54 51 55],[240 240 240]
female/f1156.jpg,[227 228 225],[155 109  83],[123 144 162],[49 36 30],[250 250 252]
female/f229.jpg,[226 224 220],[178  74  24],[171 142 123],[248 140  33],[34 28 25]
female/f305.jpg,[232 232 231],[28 23 21],[211 210 209],[185 151 132],[101  72  58]
female/f50.jpg,[230 229 229],[172 134 112],[41 44 47],[ 90 212 182],[ 59 132 117]
female/f189.jpg,[154  32  28],[61 62 70],[227 226 226],[212 162 143],[209  35  43]
female/f538.jpg,[213 200 195],[48 21 20],[226  56  57],[101 113 134],[238 235 237]
female/f739.jpg,[226 226 224],[ 59 170 166],[115 225 223],[194 153 134],[33 34 36]
female/f656.jpg,[29 28 28],[251 251 250],[236 236 234],[195 166 150],[226 218 210]
female/f212.jpg,[240  75  44],[185 121  93],[231 229 226],[95 42 31],[132 145 154]
female/f302.jpg,[222 223 222],[210 167 137],[110  79  54],[246 246 243],[177 191 186]
female/f65.jpg,[30 31 35],[219 219 218],[208 203 196],[88 91 96],[184 141  95]
female/f874.jpg,[136 123 121],[231 231 230],[49 44 42],[182 174 169],[74 85 98]
